PLAYER,Team(s),Pos,G,MP,Off,Def,Tot,WAR
Greg Brown III'22-'23,Trail Blazers,PF,93,-8.9,-10.3,3.8,-6.5,-0.2
Chance Comanche'22-'23,Trail Blazers,C,21,-6.1,-6.6,-17,-23.6,-0.2
Cade Cunningham'22-'23,Pistons,PG,400,-2.6,-2.2,-1.4,-3.6,-0.2
Rudy Gay'22-'23,Jazz,PF,816,-3.2,-2.9,-0.2,-3.1,-0.2
Jaxson Hayes'22-'23,Pelicans,C,610,-2.9,-3.9,0.7,-3.2,-0.2
Serge Ibaka'22-'23,Bucks,C,185,-4,-5,0.5,-4.5,-0.2
Ty Jerome'22-'23,Warriors,"PG, SG",816,0.2,0,-3.2,-3.2,-0.2
Kai Jones'22-'23,Hornets,PF,550,-4.1,-4,0.5,-3.5,-0.2
Nikola Jovic'22-'23,Heat,"SF, PF",217,-3.3,-3.5,-0.9,-4.4,-0.2
Maxi Kleber'22-'23,Mavericks,"PF, C",930,-2.9,-3,-0.1,-3.1,-0.2
Nathan Knight'22-'23,Timberwolves,PF,296,-2.1,-2.4,-1.9,-4.2,-0.2
A.J. Lawson'22-'23,Mavericks,SG,108,-1.1,-3,-3.9,-6.9,-0.2
Tyrese Martin'22-'23,Hawks,SF,66,-5,-4.8,-4.8,-9.6,-0.2
Wendell Moore Jr.'22-'23,Timberwolves,SF,155,-3.5,-4.7,-1.1,-5.7,-0.2
Theo Pinson'22-'23,Mavericks,"SG, SF",323,-0.3,-0.8,-3.2,-4.1,-0.2
Matt Ryan'22-'23,Timberwolves,"SF, PF",310,-2.3,-2,-2.3,-4.3,-0.2
Olivier Sarr'22-'23,Thunder,C,114,-3.2,-2.9,-3.9,-6.7,-0.2
Patrick Williams'22-'23,Bulls,"SG, SF, PF","2,323",-2.8,-2.5,-0.4,-2.9,-0.2
Omer Yurtseven'22-'23,Heat,C,99,0.1,0.6,-7.1,-6.5,-0.2
Patrick Baldwin Jr.'22-'23,Warriors,SF,237,-2.5,-3.4,-2,-5.4,-0.3
Khem Birch'22-'23,Spurs,"PF, C",162,-6.4,-6,-0.1,-6.1,-0.3
Michael Carter-Williams'22-'23,Magic,PG,44,-1.6,-2.3,-11.8,-14.1,-0.3
Goran Dragic'22-'23,Bucks,"PG, SG",877,-1.3,-1.1,-2.2,-3.3,-0.3
Juancho Hernangomez'22-'23,Raptors,PF,614,-3.2,-2.6,-1.1,-3.7,-0.3
Danuel House Jr.'22-'23,76ers,"SF, PF",849,-2,-1.9,-1.5,-3.5,-0.3
Justin Jackson'22-'23,Celtics,SF,107,-3.3,-6.3,-1.7,-8,-0.3
Frank Kaminsky'22-'23,Rockets,C,235,-1.3,-1.5,-3.9,-5.3,-0.3
Jake LaRavia'22-'23,Grizzlies,PF,414,-2.6,-3.1,-1.1,-4.2,-0.3
Meyers Leonard'22-'23,Bucks,C,119,-1.8,-1.4,-6.8,-8.1,-0.3
Marcus Morris Sr.'22-'23,Clippers,"PF, C","1,893",-1.7,-1.6,-1.4,-3,-0.3
Georges Niang'22-'23,76ers,PF,"1,669",-0.4,-0.7,-2.4,-3.1,-0.3
Zeke Nnaji'22-'23,Nuggets,PF,740,-2.2,-3.7,0.2,-3.5,-0.3
Taurean Prince'22-'23,Timberwolves,"SF, PF","1,292",-2.3,-2.2,-1,-3.2,-0.3
Daniel Theis'22-'23,Pacers,C,109,-2.8,-2.7,-5.4,-8.2,-0.3
Jeenathan Williams'22-'23,Trail Blazers,SG,127,0,0.2,-7,-6.8,-0.3
Vince Williams Jr.'22-'23,Grizzlies,SF,105,-6.8,-8.5,0,-8.4,-0.3
McKinley Wright IV'22-'23,Mavericks,PG,335,-2.2,-3.4,-1,-4.4,-0.3
Udoka Azubuike'22-'23,Jazz,C,359,-4.9,-5.5,0.5,-5,-0.4
Paolo Banchero'22-'23,Magic,PF,"2,430",-1.6,-1.4,-1.7,-3.1,-0.4
Trent Forrest'22-'23,Hawks,"PG, SG",277,-3.3,-3.8,-1.9,-5.6,-0.4
Anthony Gill'22-'23,Wizards,PF,624,-1.1,-1.2,-2.8,-4,-0.4
Kenneth Lofton Jr.'22-'23,Grizzlies,PF,188,0.6,-0.8,-5.8,-6.7,-0.4
Robin Lopez'22-'23,Cavaliers,C,305,-2.6,-3.6,-1.9,-5.5,-0.4
Derrick Rose'22-'23,Knicks,"PG, SG",341,-3.5,-4.2,-0.6,-4.9,-0.4
Admiral Schofield'22-'23,Magic,SF,451,-1.4,-1.9,-2.4,-4.3,-0.4
